,Category,top10,top10_scores
15,internet things,"['bijan jabbari', 'vijay shah', 'sherif hashem', 'moinul hossain', 'brian mark', 'parth pathak', 'sanjeev setia', 'cameron nowzari', 'jianli pan', 'kai zeng']","[0.33209953917310386, 0.2823620125636531, 0.27366115458824286, 0.26527858972944574, 0.26037243943254185, 0.2556477277071281, 0.23152828735121916, 0.21920666543339157, 0.2161472530280246, 0.21221869162613666]"
16,mobile,"['lucas henneman', 'kevin moran', 'xuesu xiao', 'karla hoffman', 'kenneth ball', 'lance sherry', 'abolfazl safikhani', 'celso moller ferreira', 'myeong lee', 'hemant purohit']","[0.12243818432143735, 0.11668349493718846, 0.09933488437090707, 0.09713482021963807, 0.09602128536011775, 0.09299650990215155, 0.09259428263328187, 0.09019039031779273, 0.08854789031019045, 0.0873534202118812]"
17,wireless,"['bernd peter paris', 'yue wang', 'lei yang', 'kai zeng', 'vijay shah', 'duminda wijesekera', 'xiaonan guo', 'bijan jabbari', 'ali k raz', 'md tanvir arafin']","[0.2501830541141066, 0.19832958652566768, 0.19398631216816045, 0.18081980388618055, 0.17958039228206105, 0.16813940173768688, 0.1562635467010886, 0.15461757094981915, 0.14857322639267403, 0.14490411028482147]"
18,5g,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
19,next g communications networks,"['myeong lee', 'daniel barbara', 'jim chen', 'duminda wijesekera', 'ray hong', 'ali k raz', 'angelos stavrou', 'giuseppe ateniese', '̦zlem uzuner', 'alexander levis']","[0.27810631708646866, 0.24023693111370292, 0.23010402840660688, 0.21966337941193975, 0.2075814189532625, 0.2023212820652775, 0.1998621205687131, 0.18977662044720872, 0.18915922597019563, 0.18796726855580795]"
20,network architecture,"['ali k raz', 'janis terpenny', 'john otten', 'robert pettit', 'matthew amissah', 'jiayang sun', 'yutao zhong', 'george hazelrigg', 'daniel menasce', 'edward huang']","[0.2737515031550994, 0.23175390146058297, 0.22906534053094574, 0.19879136424089994, 0.19822791512600965, 0.19384596454354652, 0.1921866397915419, 0.19138699464239717, 0.1864254645829612, 0.18083601573802469]"
21,biometrics,"['michael holland', 'jonathan l auerbach', 'jiayang sun', 'niloofar ramezani', 'brittany johnson matthews', 'pramita bagchi', 'tianshu feng', 'jim chen', 'isuru dassanayake', 'viviana maggioni']","[0.22866478019001174, 0.13622464475162802, 0.1324096870498262, 0.1312948585479731, 0.12713842392189112, 0.1264981342760856, 0.12285946157230679, 0.12245827683122837, 0.115278083540847, 0.1131319357167199]"
22,cryptography,"['ziyu yao', 'lisa luo', 'thomas latoza', 'holger dannenberg', 'qiang zeng', 'krzysztof gaj', 'jens peter kaps', 'shahnaz kamberi', 'michael holland', 'binqian yin']","[0.20214240210794907, 0.15820854290177333, 0.15365861014203386, 0.13780332388545039, 0.12264122130969601, 0.1193463235977841, 0.11169024313261929, 0.09967467141795561, 0.09513029883089881, 0.0888231183368655]"
23,digital forensics analysis,"['burak tanyu', 'daniel barbara', 'jim chen', 'jeff offutt', 'paul ammann', 'john shortle', 'vasiliki ikonomidou', 'ray hong', 'pramita bagchi', 'qiliang li']","[0.2221419336846608, 0.21705141486626378, 0.20860463354873063, 0.20521291110008402, 0.18564012634541338, 0.18475697485938314, 0.18387261821784667, 0.1835808266778055, 0.18208993741363555, 0.18164696241117173]"
24,leadership,"['songjun luo ', 'duoduo liao', 'andrew richardson', 'arthur art pyster', 'david s rosenblum', 'christopher a carr', 'joy hughes', 'ray hong', 'f berlin', 'katherine russell']","[0.18359701840863138, 0.1548963879348407, 0.1519576684637077, 0.13103560459023977, 0.10053487318374955, 0.08869685939836239, 0.07607746940114607, 0.06756841853913034, 0.0668153104781061, 0.0649741170305916]"
25,governance policy,"['hemant purohit', 'jan allbeck', 'kenneth strazzeri', 'khondkar islam', 'craig lorie', 'riki morikawa', 'niloofar ramezani', 'aditya johri', 'myeong lee', 'syed abbas zaidi']","[0.13299824370472463, 0.11991454060887621, 0.10895340841010223, 0.09571148342686278, 0.07685382882778977, 0.07298686792437226, 0.07098384061184301, 0.06890600440230935, 0.06780375526998593, 0.06489906437589885]"
26,operations,"['rajesh ganesan', 'jim chen', 'tokunbo fadahunsi', 'cameron nowzari', 'alexander brodsky', 'daniel barbara', 'shani ross', 'jessica lin', 'daniel menasce', 'massimiliano albanese']","[0.16764604285338958, 0.14461309935089184, 0.13416985839914647, 0.1334299302734755, 0.1266653715501469, 0.1251208748385032, 0.12419610328618108, 0.12276174605182189, 0.1223703224390827, 0.11923127946713924]"
27,privacy,"['liza wilson durant', 'bo han', 'lucas henneman', 'zhisheng yan', 'dana richards', 'sanmay das', 'emanuela marasco', 'jonathan l auerbach', 'carlotta domeniconi', 'vasiliki ikonomidou']","[0.09469937449766555, 0.07152836251312072, 0.06876623695733759, 0.058912816993868806, 0.05115887115785618, 0.04961737187735934, 0.04734119255809281, 0.039606212357244826, 0.039466799865107205, 0.03844250841084365]"
28,system security including communications,"['giuseppe ateniese', 'jim chen', 'ray hong', 'myeong lee', 'daniel barbara', 'janis terpenny', 'sanmay das', 'aditya johri', 'katherine russell', 'paul ammann']","[0.19383301882965678, 0.1813675988445727, 0.1754649216171273, 0.17388382399883487, 0.17137758832556343, 0.16270829987842583, 0.1608710748560773, 0.15281466486909065, 0.15184779986633026, 0.1455327166256638]"
29,cyber physical,"['charles white', 'ali beheshti', 'martin slawski', 'burak tanyu', 'eugene kim', 'rao v mulpuri', 'jiayang sun', 'angelos stavrou', 'william rosenberger', 'jeffrey moran']","[0.1161895003862225, 0.10549723268580277, 0.09595877037752325, 0.0932667717349748, 0.08841263423928603, 0.08813608934963221, 0.08707384247518025, 0.07948480556104466, 0.07842429647369654, 0.07814476038048558]"
30,hardware,"['hamza mughal', 'shahnaz kamberi', 'john otten', 'yutao zhong', 'brittany johnson matthews', 'shvetha soundararajan', 'tamara maddox', 'binqian yin', 'grigory yaroslavtsev', 'sharon adamus']","[0.24595492912420724, 0.23958809244164256, 0.21081851067789192, 0.18670401120373462, 0.18547252430958233, 0.18410569175357117, 0.16289259247507362, 0.16012815380508713, 0.14907119849998599, 0.13944333775567924]"
31,network systems,"['ali k raz', 'janis terpenny', 'jim chen', 'george hazelrigg', 'alexander levis', 'giuseppe ateniese', 'daniel menasce', 'duminda wijesekera', 'edward huang', 'daniel barbara']","[0.23984193529858433, 0.19137910531824265, 0.18911949011392604, 0.1851732435964529, 0.17870788500681203, 0.17369465712893747, 0.1735650625632105, 0.17267247296037402, 0.1725730237385773, 0.17037287051697053]"
32,data fusion,"['jim chen', 'monson hayes', 'shani ross', 'jinwei ye', 'myeong lee', 'qi wei', 'yotam gingold', 'giuseppe ateniese', 'william rosenberger', 'hadi el amine']","[0.12233901625446489, 0.11935156385490425, 0.1119401280429636, 0.10892122292251878, 0.10597339224405763, 0.10500643375786022, 0.10259870399159594, 0.10171997511671516, 0.10099905194489178, 0.09990700176642747]"
33,data mining big data analysis,"['myeong lee', 'daniel barbara', 'jim chen', 'giorgio ascoli', 'angelos stavrou', 'william rosenberger', 'hadi el amine', 'huzefa rangwala', 'aditya johri', 'john shortle']","[0.21080611968742083, 0.19195555979579626, 0.1911205936345046, 0.1796104185588812, 0.17544712823528524, 0.17518772794629633, 0.17360983072771202, 0.17305207107542941, 0.17252282543751174, 0.17225338486709962]"
