,Category,top10,top10_scores
122,model calibration,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'qi wei', 'edward huang', 'kim blackwell', 'tianshu feng', 'lily wang', 'syed abbas zaidi']","[0.2443072280662928, 0.2417610640103515, 0.21757271443454004, 0.19929052798702696, 0.18919404398999207, 0.17787315842727092, 0.17496624568837332, 0.171469074629176, 0.17134393559992653, 0.1694003406388663]"
123,time series modeling,"['jessica lin', 'abolfazl safikhani', 'syed abbas zaidi', 'elise miller hooks', 'alexander levis', 'mohan venigalla', 'cameron nowzari', 'rajesh ganesan', 'john shortle', 'yotam gingold']","[0.36519454960816256, 0.3032662896959208, 0.2846711559571382, 0.276261318337197, 0.2695122550284202, 0.2515743638755984, 0.2507625358296992, 0.22566333318048742, 0.22210448629903712, 0.22117403344856523]"
124,nonparametric inference,"['kenneth strazzeri', 'isuru dassanayake', 'mihai boicu', 'yue wang', 'lily wang', 'gheorghe tecuci', 'yariv ephraim', 'evgenios kornaropoulos', 'katherine russell', 'bernard schmidt']","[0.15555555555555556, 0.1037502751867623, 0.10315244474828054, 0.08632768058256389, 0.07925600545371052, 0.07788812727342947, 0.0758140395265555, 0.07519771824686534, 0.07472023458518035, 0.07392212709545729]"
125,bayesian networks,"['ali k raz', 'matthew amissah', 'duminda wijesekera', 'jiayang sun', 'bernd peter paris', 'daniel menasce', 'daniel barbara', 'jim chen', 'george hazelrigg', 'wanli qiao']","[0.268282881947747, 0.20689655172413793, 0.20344454150007443, 0.20284985832073943, 0.19621935296486653, 0.19339992424768204, 0.18392724479447237, 0.17325882352885674, 0.17112005580402714, 0.16934102709549054]"
126,markov models,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'qi wei', 'edward huang', 'kim blackwell', 'tianshu feng', 'lily wang', 'syed abbas zaidi']","[0.25804309228144073, 0.25582317369767305, 0.23033595615653904, 0.2109843175651142, 0.20081033403665466, 0.18447484880988296, 0.1834588828197687, 0.18107836129159058, 0.18064164940615823, 0.17974145652719564]"
127,queueing theory,"['ali k raz', 'gheorghe tecuci', '̦zlem uzuner', 'alexander levis', 'jan allbeck', 'syed abbas zaidi', 'daniel barbara', 'daniel menasce', 'mihai boicu', 'george hazelrigg']","[0.13328344321157098, 0.12637758141718522, 0.11227725202541045, 0.11045604156653155, 0.10952284939790372, 0.10693044757935082, 0.10543803661107541, 0.09994765416739632, 0.0992607247047888, 0.09821078460001077]"
128,probabilistic ontologies,"['shahnaz kamberi', 'hamza mughal', 'john otten', 'wanli qiao', 'joy hughes', 'yutao zhong', 'pelin kurtay', 'tamara maddox', 'binqian yin', 'aditya johri']","[0.24151939612812323, 0.20464687117164015, 0.17541160386140586, 0.1724479716731375, 0.16880074882053833, 0.15534712747612348, 0.15097027121927944, 0.13553482951433946, 0.13323467750529824, 0.1275833991256439]"
129,acquisition decision support,"['kevin andrea', 'leonard adelman', 'michael hieb', 'duminda wijesekera', 'tolga soyata', 'mihai boicu', 'aditya johri', 'george hazelrigg', 'sanmay das', 'ray hong']","[0.14353044852442018, 0.1413079274461134, 0.14106796053883644, 0.13773987248005828, 0.1288307629905275, 0.1284626048051869, 0.12154806749578843, 0.11550967668883652, 0.11505336366289072, 0.11484422821121004]"
130,model based systems engineering,"['alexander levis', 'vadim sokolov', 'jim chen', 'edward huang', 'janis terpenny', 'qi wei', 'abolfazl safikhani', 'syed abbas zaidi', 'ariela sofer', 'alexander brodsky']","[0.313822808174314, 0.28483692953213086, 0.2810811796948832, 0.27913136751080114, 0.26621971734351113, 0.2658619166233218, 0.26168509978639226, 0.2599368747300463, 0.25693172057968694, 0.2560685111848679]"
131,system analysis simulation,"['jim chen', 'amarda shehu', 'daniel barbara', 'janis terpenny', 'burak tanyu', 'george hazelrigg', 'carlotta domeniconi', 'aditya johri', 'vasiliki ikonomidou', 'john shortle']","[0.22890581932017065, 0.1882823731570878, 0.18677934266299168, 0.18350118046853678, 0.18099968361212304, 0.17799758743633318, 0.17620033636455212, 0.17400014507337808, 0.17366585214579866, 0.17264959605462313]"
132,system enterprise architecture design,"['janis terpenny', 'thomas latoza', 'george hazelrigg', 'aditya johri', 'ray hong', 'edward huang', 'jan allbeck', 'yotam gingold', 'alexander levis', 'jim chen']","[0.28174693501571113, 0.21054002712701753, 0.19332523400768822, 0.18856797071731507, 0.17556058067844957, 0.16613781571386838, 0.16105611564291805, 0.15970448915993313, 0.15836186470694555, 0.15384911837863696]"
133,workforce development,"['jim chen', 'monson hayes', 'rajesh ganesan', 'vasiliki ikonomidou', 'george hazelrigg', 'viviana maggioni', 'yotam gingold', 'mahdi hashemi', 'alexander levis', 'shuochao yao']","[0.15564767702858043, 0.1403059419899226, 0.13904414362402737, 0.1364199402598168, 0.1321549561200998, 0.1315150318377001, 0.13142042834328524, 0.13004663094054833, 0.12782007866807515, 0.12669838048830204]"
134,emergency response systems,"['yariv ephraim', 'jim chen', 'janis terpenny', 'ray hong', 'dimitrios ioannou', 'rajesh ganesan', 'qiliang li', 'cameron nowzari', 'jan allbeck', 'vasiliki ikonomidou']","[0.18706073876502677, 0.1783728465845966, 0.1578983082670585, 0.14695817209886353, 0.1448319533863284, 0.14433741503769, 0.14359171804001614, 0.14116240760375465, 0.13471342390405738, 0.13466500072561327]"
135,humanitarian organizations human rights,"['hemant purohit', 'ningshi yao', 'myeong lee', 'jan allbeck', 'ray hong', 'shuochao yao', 'anand vidyashankar', 'sadegh torabi', 'rochelle jones', 'aditya johri']","[0.1340502610470901, 0.12317948007120506, 0.11615441293044702, 0.11363032805702641, 0.1078816462226129, 0.10716481728798749, 0.10458857975515709, 0.10304076244511144, 0.10086615963842824, 0.09999200648164014]"
136,law enforcement,"['ningshi yao', 'gheorghe tecuci', 'duminda wijesekera', 'alexander levis', 'rochelle jones', 'syed abbas zaidi', 'daniel barbara', 'george hazelrigg', 'jan allbeck', 'ali k raz']","[0.1367513564122606, 0.12980053163532157, 0.12870632590720696, 0.1273248004799734, 0.12481647384843558, 0.12126630426968137, 0.119666315278234, 0.11949599649547298, 0.11863177108006229, 0.11564801665486144]"
137,curricular development enhanced educational opportunities,"['jim chen', 'aditya johri', 'janis terpenny', 'rajesh ganesan', 'george hazelrigg', 'vasiliki ikonomidou', 'mahdi hashemi', 'monson hayes', 'burak tanyu', 'yotam gingold']","[0.20273281586146366, 0.18957553523472148, 0.18403315073344784, 0.17878604755598773, 0.1728940523323908, 0.17218914362160948, 0.16801785895508448, 0.16251858999803348, 0.16143198112307405, 0.15549112868893442]"
138,engineering computing student learning methods effectiveness,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'janis terpenny', 'michael eagle', 'jim chen', 'edward huang', 'tokunbo fadahunsi', 'george hazelrigg', 'shahnaz kamberi']","[0.3296421572990099, 0.28867965414647345, 0.2722107580691554, 0.2186955854960171, 0.1889623901292406, 0.18406825530935256, 0.17502953214500208, 0.17241289394181758, 0.1719085894128999, 0.1654589578527096]"
139,distance computer based learning,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'jim chen', 'daniel barbara', 'syed abbas zaidi', 'rajesh ganesan', 'michael eagle', 'monson hayes', 'carlotta domeniconi']","[0.3295091082230309, 0.2950947070746437, 0.26053837067918406, 0.23385360537596295, 0.22991958799829826, 0.22087070699734335, 0.21755046037671594, 0.21655163124312404, 0.21379579578825922, 0.2127720045321087]"
140,power system reliability,"['jim chen', 'alexander levis', 'amarda shehu', 'rajesh ganesan', 'george hazelrigg', 'janis terpenny', 'cameron nowzari', 'kenneth ball', 'syed abbas zaidi', 'alexander brodsky']","[0.17470530540711798, 0.1603551619784474, 0.15407211809373414, 0.15381489878736052, 0.1527696898033401, 0.15096511383165864, 0.14835921144207995, 0.14708447862515459, 0.1425570896420789, 0.1417742590301226]"
141,power system management,"['jim chen', 'alexander levis', 'rajesh ganesan', 'amarda shehu', 'george hazelrigg', 'jeffrey moran', 'janis terpenny', 'cameron nowzari', 'kenneth ball', 'alexander brodsky']","[0.17451399880634785, 0.16060098173230533, 0.1532525023931956, 0.15225191736546004, 0.15196117887756178, 0.1515498345020216, 0.15112263309144058, 0.14879245098643387, 0.1465466907966116, 0.14569218900943157]"
142,power system security,"['jim chen', 'rajesh ganesan', 'alexander levis', 'cameron nowzari', 'george hazelrigg', 'ray hong', 'amarda shehu', 'giuseppe ateniese', 'qiliang li', 'duminda wijesekera']","[0.17655411734883183, 0.16305162459238204, 0.16283865592960084, 0.1545088569982159, 0.15363694181663312, 0.1535476068116498, 0.15321648418671036, 0.1526419860829838, 0.15113868587847304, 0.14892459500247687]"
143,operational risk management,"['sanmay das', 'jan allbeck', 'mihai boicu', 'john shortle', 'gheorghe tecuci', 'cameron nowzari', 'rajesh ganesan', 'jim chen', 'michael hieb', 'duminda wijesekera']","[0.18678550554208684, 0.16326470586404754, 0.1603161302242872, 0.15767948541737095, 0.15330051778870332, 0.14935793778853465, 0.13130226480309043, 0.13096508682523159, 0.12864213554395532, 0.12369422013707732]"
144,portfolio optimization asset allocation,"['sanmay das', 'daniel barbara', 'shahnaz kamberi', 'aditya johri', 'paul ammann', 'john otten', 'elise miller hooks', 'daniel menasce', 'john shortle', 'tokunbo fadahunsi']","[0.13112193247914194, 0.12766167700357003, 0.12560242953086498, 0.12212825130291982, 0.11950512973374444, 0.11620871002517104, 0.11277601823526169, 0.11006358999148531, 0.11000017636704457, 0.10864563540248492]"
145,regulation,"['cameron nowzari', 'duminda wijesekera', 'ningshi yao', 'andrzej manitius', 'jan allbeck', 'michael hieb', 'ivan avramovic', 'alexander levis', 'lance sherry', 'liza wilson durant']","[0.14152709144254486, 0.12898056983131176, 0.12782836843537046, 0.12275773212248546, 0.09672523854369447, 0.0945473816280469, 0.09423390576651829, 0.08786990408742057, 0.07919240920559371, 0.07714334913007095]"
146,linguistics,"['antonios anastasopoulos', 'marcos zampieri', 'mark snyder', 'aditya johri', 'ziyu yao', '̦zlem uzuner', 'pramita bagchi', 'khondkar islam', 'tianshu feng', 'pouyan ahmadi']","[0.42600081800463074, 0.3387512187298166, 0.16089281420898893, 0.15155717416247927, 0.15051504057557316, 0.1493235972880041, 0.1398489493579239, 0.13638107792619977, 0.13528938269705953, 0.13389944899870423]"
147,semiconductor manufacturing,"['rao v mulpuri', 'kuo tian', 'gene shuman', 'janis terpenny', 'martin slawski', 'qiliang li', 'ali beheshti', 'viviana maggioni', 'burak tanyu', 'dimitrios ioannou']","[0.11228940147987285, 0.1118146273618826, 0.11136154740119708, 0.1110726060109793, 0.10572824832035896, 0.10298117578574964, 0.10003066457706156, 0.07869604834264032, 0.07737900307402792, 0.07560267239603229]"
148,sustainable manufacturing,"['janis terpenny', 'tamara maddox', 'viviana maggioni', 'jan allbeck', 'filipe veiga', 'martha bushong', 'colleen berg', 'sherif hashem', 'yotam gingold', 'duoduo liao']","[0.12028625982432724, 0.09583759703655205, 0.0738120519838445, 0.07287114390847092, 0.06629935441317959, 0.06585001252416703, 0.0644825880219161, 0.06033569486707659, 0.05779060675302038, 0.05400476613092587]"
149,command,"['michael hieb', 'duminda wijesekera', 'alexander levis', 'shahnaz kamberi', 'parth pathak', 'siddhartha sikdar', 'mingkui wei', 'jim chen', 'andrzej manitius', 'ningshi yao']","[0.2039218161809621, 0.1760578735890882, 0.16166961048933665, 0.15561703087403772, 0.15402831326082086, 0.14965153943207365, 0.14954529571558545, 0.14698242660730615, 0.13564749650842228, 0.13525811008405778]"
150,control,"['duminda wijesekera', 'jim chen', 'hemant purohit', 'mingkui wei', 'cameron nowzari', 'michael hieb', 'parth pathak', 'alexander levis', 'daniel barbara', 'rajesh ganesan']","[0.20351964238490455, 0.1628572987978594, 0.156140938630571, 0.15423253432112893, 0.15382109796587878, 0.15184250450294062, 0.14476217214630172, 0.14403916659859567, 0.14331981172800898, 0.14033364221528677]"
151,communications,"['myeong lee', 'ray hong', 'katherine russell', 'sadegh torabi', 'joy hughes', 'daniel barbara', 'jim chen', 'sanmay das', 'hemant purohit', 'angelos stavrou']","[0.2982237459115756, 0.1678720844247037, 0.16589912122782696, 0.15934391646907092, 0.1506904683530681, 0.145065197910479, 0.14269190999529743, 0.13923924739759086, 0.13328905139959657, 0.13229830501820383]"
152,computers,"['gheorghe tecuci', 'olcay ciftci', 'isuru dassanayake', 'binqian yin', 'antonios anastasopoulos', 'mihai boicu', 'ebrima ceesay', 'grigory yaroslavtsev', 'mahdi hashemi', 'brian hrolenok']","[0.10280272719429, 0.09962709627734359, 0.09591716334086428, 0.0888231183368655, 0.08694083384484201, 0.08659206968819436, 0.08447080072188742, 0.08268982305947231, 0.08227695585852172, 0.07548513560963972]"
153,intelligence c4i  cyber,"['myeong lee', 'diana wang', 'sadegh torabi', 'riki morikawa', 'hemant purohit', '̦zlem uzuner', 'sharon adamus', 'sanmay das', 'katherine russell', 'michael hieb']","[0.3122912665656056, 0.18919350793616088, 0.16408153265681313, 0.1611506409725775, 0.1480358884569435, 0.1476284096496355, 0.1466389313602503, 0.1429124806125476, 0.13363943535026923, 0.13213016308711653]"
154,life cycle maintenance analysis,"['jessica lin', 'jim chen', 'daniel barbara', 'pramita bagchi', 'vasiliki ikonomidou', 'alexander levis', 'john shortle', 'elise miller hooks', 'syed abbas zaidi', 'jan allbeck']","[0.19073486845029222, 0.1870391497752098, 0.17324733364111647, 0.1692604196642958, 0.16858174026841022, 0.1639211737664854, 0.16036969022406158, 0.15887386667553943, 0.15844191691600118, 0.15369608449693706]"
155,intelligence strategic analysis,"['myeong lee', 'daniel barbara', '̦zlem uzuner', 'katherine russell', 'sanmay das', 'jim chen', 'alexander levis', 'ray hong', 'syed abbas zaidi', 'hemant purohit']","[0.26953089402591435, 0.18556138342613696, 0.18344106088076376, 0.17386907591711318, 0.1717372275591121, 0.17156446420187837, 0.1712298321505687, 0.16873129108432044, 0.15879061956170823, 0.15700564163992245]"
156,player team analytics,"['daigo shishika', 'hemant purohit', 'shahnaz kamberi', 'aditya johri', 'brian hrolenok', 'massimiliano albanese', 'shuochao yao', 'michael eagle', 'joy hughes', 'xiaonan guo']","[0.13755147600052625, 0.12347833998803565, 0.1062409816145431, 0.10195367386971824, 0.08716272672808179, 0.08663481353345412, 0.08514198357801861, 0.08374613113785642, 0.077153583235334, 0.07652315677482593]"
157,economics,"['hemant purohit', 'brian hrolenok', 'inchi hu', 'shahnaz kamberi', 'michael lyons', 'john shortle', 'david s rosenblum', 'daniel menasce', 'shuochao yao', 'john mclaughlin']","[0.21589897623671675, 0.12909944487358055, 0.11905136851988177, 0.11801763435003, 0.11213239438420099, 0.1096803066644603, 0.10900086292691394, 0.1083696018954354, 0.10789857445607387, 0.10598156297462505]"
158,safety security,"['dimitrios ioannou', 'ray hong', 'qiliang li', 'xiaonan guo', 'md tanvir arafin', 'mohamed gebril', 'tokunbo fadahunsi', 'qiang zeng', 'lisa luo', 'jens peter kaps']","[0.1681383263331092, 0.14725255350596678, 0.14615964482472557, 0.1401077680790886, 0.13663142575514822, 0.13379872160113454, 0.1334202237520266, 0.11814215585585691, 0.11289740895132264, 0.1124114900954496]"
159,emergency response,"['yariv ephraim', 'kim blackwell', 'dimitrios ioannou', 'xiaonan guo', 'qiliang li', 'jim chen', 'colleen berg', 'parag chitnis', 'cameron nowzari', 'rajesh ganesan']","[0.1917606965521585, 0.1419164199510823, 0.12468882131686629, 0.12098369369698626, 0.1190496887573029, 0.10700797908060215, 0.10524566699352861, 0.10509261097542806, 0.10308501468648272, 0.10275526744264295]"
160,sustainability resilience,"['ali beheshti', 'martin slawski', 'burak tanyu', 'huzefa rangwala', 'harry wechsler', 'yotam gingold', 'qiliang li', 'remi veneziano', 'chun hung chen', 'giorgio ascoli']","[0.14085523466381608, 0.13443854268702018, 0.12412884871282989, 0.1067798143922595, 0.10628951871424307, 0.10189464868788176, 0.1011222169261026, 0.09323385012904609, 0.08686545976381696, 0.08602570510087816]"
161,system management,"['janis terpenny', 'jim chen', 'amarda shehu', 'thomas latoza', 'ray hong', 'george hazelrigg', 'giuseppe ateniese', 'hadi el amine', 'alexander brodsky', 'edward huang']","[0.17098641305030682, 0.14783831502015926, 0.13229086308328875, 0.1311893281767319, 0.12657944540447413, 0.1240962866058496, 0.11785101725279766, 0.11702313948047724, 0.1141738456627036, 0.11300279266280153]"
162,modeling performance,"['abolfazl safikhani', 'alexander levis', 'ben seiyon lee', 'vadim sokolov', 'qi wei', 'tianshu feng', 'syed abbas zaidi', 'daniel menasce', 'lily wang', 'edward huang']","[0.2823757257972372, 0.2715358053833161, 0.26261455440621145, 0.2595791299850697, 0.23838257612148298, 0.22810075984464143, 0.2226013967593662, 0.21828901153186703, 0.21813655454999228, 0.2177954727303129]"
163,digital forensics,"['jeff offutt', 'paul ammann', 'burak tanyu', 'ray hong', 'daniel barbara', 'dimitrios ioannou', 'parth pathak', 'monson hayes', 'krzysztof gaj', 'qiliang li']","[0.2244408505137341, 0.18843189533340984, 0.18113222558953718, 0.1796007861176193, 0.17628755344102265, 0.1729579638544927, 0.17130556411173362, 0.16206390322129977, 0.15555834885567832, 0.14866475174956875]"
164,modeling performance evaluation,"['abolfazl safikhani', 'alexander levis', 'ben seiyon lee', 'vadim sokolov', 'qi wei', 'tianshu feng', 'edward huang', 'lily wang', 'daniel menasce', 'syed abbas zaidi']","[0.25942491136869206, 0.247710511889509, 0.24172554776351882, 0.23613974460174378, 0.21551294728322878, 0.20545798521945574, 0.2013258649091981, 0.20088176289069704, 0.20052657716716307, 0.20050452491419218]"
165,wireless communications,"['myeong lee', 'bernd peter paris', 'yue wang', 'duminda wijesekera', 'vijay shah', 'joy hughes', 'kai zeng', 'daniel barbara', 'xiaonan guo', 'ray hong']","[0.2637897891127122, 0.23776922044765697, 0.20757931014181114, 0.19640539494138995, 0.19551038939731516, 0.18977055023457778, 0.18841615147905738, 0.18530156461387762, 0.18359845257546467, 0.18182960276639054]"
166,iot security,"['tokunbo fadahunsi', 'mohamed gebril', 'md tanvir arafin', 'paul ammann', 'foteini baldimtsi', 'qiliang li', 'ran ji', 'massimiliano albanese', 'dimitrios ioannou', 'kun sun']","[0.13686666915800502, 0.1317647464097706, 0.10671554949472506, 0.10181137892851169, 0.0962150268411393, 0.09459075727393863, 0.09196613067790095, 0.08534819931407897, 0.08263893484993813, 0.08235303168021572]"
167,engineering education,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'janis terpenny', 'rochelle jones', 'peter pachowicz', 'bo liu', 'michael holland', 'michael eagle', 'elizabeth white']","[0.3039812352940823, 0.2717300399865229, 0.2061470629396924, 0.19935081637878974, 0.17964318749532596, 0.16780151935092938, 0.16718346377260587, 0.15992325525180034, 0.15904136252368875, 0.15669214934871237]"
168,entrepreneurship innovation,"['ray hong', 'jessica lin', 'rajesh ganesan', 'bo han', 'dimitrios ioannou', 'f berlin', 'eric osterweil', 'md tanvir arafin', 'shuochao yao', 'jim chen']","[0.1509804662529533, 0.14249033099260855, 0.12528747916373628, 0.11625127332268397, 0.10917728991212136, 0.10690449676496977, 0.10359583773658415, 0.10247356931636115, 0.10065554921210482, 0.10011151185347264]"
169,cyber security,"['tokunbo fadahunsi', 'mohamed gebril', 'md tanvir arafin', 'paul ammann', 'foteini baldimtsi', 'qiliang li', 'ran ji', 'massimiliano albanese', 'dimitrios ioannou', 'kun sun']","[0.13686666915800502, 0.1317647464097706, 0.10671554949472506, 0.10181137892851169, 0.0962150268411393, 0.09459075727393863, 0.09196613067790095, 0.08534819931407897, 0.08263893484993813, 0.08235303168021572]"
170,information security assurance,"['tokunbo fadahunsi', 'mohamed gebril', 'paul ammann', 'aditya johri', 'ran ji', 'qiliang li', 'foteini baldimtsi', 'angelos stavrou', 'mingkui wei', 'md tanvir arafin']","[0.14875872318078714, 0.1260682264148248, 0.12031805744232353, 0.11767368472009332, 0.1094214820534903, 0.1084363350276709, 0.1077589802434053, 0.10661000671315267, 0.1041299781494831, 0.10358170770010104]"
171,computer game technology,"['gheorghe tecuci', 'shahnaz kamberi', 'michael eagle', 'daigo shishika', 'mihai boicu', 'aditya johri', 'joy hughes', 'binqian yin', 'brittany johnson matthews', 'ariela sofer']","[0.19340369710833596, 0.18750087189175646, 0.1858021808926943, 0.1755979600589201, 0.17310452286803935, 0.15955075706237465, 0.1534376164058577, 0.14064216928154866, 0.13837944532538643, 0.1380474734056318]"
172,virtual humans,"['ningshi yao', 'yariv ephraim', 'zhisheng yan', 'jan allbeck', 'jim chen', 'pramita bagchi', 'mihai boicu', 'linghan zhang', 'tamara maddox', 'alexander levis']","[0.09305295294986138, 0.07179083860217725, 0.06676773311085535, 0.06641420710645451, 0.061042816439597296, 0.05995345255800766, 0.049223988757127704, 0.048205371004414625, 0.047918798518276025, 0.04760648910716926]"
173,hardware security,"['tokunbo fadahunsi', 'mohamed gebril', 'shahnaz kamberi', 'hamza mughal', 'joy hughes', 'paul ammann', 'foteini baldimtsi', 'md tanvir arafin', 'yutao zhong', 'massimiliano albanese']","[0.1349833365451543, 0.13281218822295593, 0.12158450637777374, 0.11590011139293838, 0.11463022003218587, 0.11177376217189078, 0.10926691472408086, 0.10576514003530539, 0.10264286388534141, 0.09708122030892667]"
174,memory systems,"['janis terpenny', 'ray hong', 'jim chen', 'qiliang li', 'dimitrios ioannou', 'george hazelrigg', 'md tanvir arafin', 'aditya johri', 'rajesh ganesan', 'tolga soyata']","[0.1811373997339263, 0.17216652192373666, 0.17014041060129045, 0.16942893783501953, 0.166331534028654, 0.16123061169180974, 0.15207139154104965, 0.14986503490806763, 0.148412523739963, 0.1469847046456892]"
175,cognitive simulations,"['shahnaz kamberi', 'hamza mughal', 'john otten', 'jan allbeck', 'tamara maddox', 'joy hughes', 'jim chen', 'mahdi hashemi', 'aditya johri', 'yutao zhong']","[0.15393901422105574, 0.1304372986874877, 0.12577882373436317, 0.11765127022061572, 0.10798355319767, 0.1075897890181249, 0.10621074684578033, 0.1048829508604036, 0.10178310901585866, 0.09901475429766743]"
176,neuronal morphology,"['giorgio ascoli', 'michael holland', 'amarda shehu', 'ahmed bin zaman', 'jim chen', 'pramita bagchi', 'irina hashmi', 'burak tanyu', 'aditya johri', 'mahdi hashemi']","[0.12996254072059688, 0.11433239009500587, 0.10944251841961807, 0.10694946411465862, 0.10637159891755375, 0.10365819336512572, 0.10364548752159351, 0.1029494410583655, 0.09883920407217436, 0.0919453245980136]"
177,network connectivity,"['ali k raz', 'matthew amissah', 'duminda wijesekera', 'daniel menasce', 'bernd peter paris', 'robert pettit', 'alexander levis', 'hakan aydin', 'daniel barbara', 'jiayang sun']","[0.26187228967577286, 0.2456518422202587, 0.18110700957281634, 0.17354643964559052, 0.16104236411492084, 0.15617419534316762, 0.15574764460689014, 0.1509686666862218, 0.15035009323886894, 0.15013847276131279]"
178,neuroinformatics,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
179,neuroscience,"['ali k raz', 'matthew amissah', 'daniel menasce', 'jiayang sun', 'george hazelrigg', 'edward huang', 'duminda wijesekera', 'hakan aydin', 'john otten', 'alexander levis']","[0.3424878350879609, 0.2785430072655778, 0.22455305295573114, 0.21847598363221324, 0.21794435816555585, 0.21089297239005697, 0.20955770453060238, 0.205586679022295, 0.1976423537605237, 0.1932980727414302]"
180,computational neuroanatomy,"['john otten', 'yutao zhong', 'ali k raz', 'hamza mughal', 'matthew amissah', 'joy hughes', 'jiayang sun', 'craig lorie', 'tamara maddox', 'daniel menasce']","[0.3550234734023465, 0.2858309752375148, 0.2764258918028123, 0.25819888974716115, 0.22742941307367104, 0.2070566455055649, 0.20271010642104997, 0.19998000299950008, 0.1995018672215266, 0.19908178654027614]"
181,cloud security,"['giuseppe ateniese', 'lisa luo', 'paul ammann', 'colin reagle', 'leonard adelman', 'foteini baldimtsi', 'qiang zeng', 'diana wang', 'xiaonan guo', 'jim chen']","[0.10846576637543535, 0.10750864171570754, 0.10551002459682789, 0.10333438932048525, 0.10172988383585171, 0.10025551527170469, 0.10014827929911378, 0.09834798069081699, 0.09825519229711466, 0.09803514750718921]"
182,applied cryptography,"['lisa luo', 'ziyu yao', 'qiang zeng', 'thomas latoza', 'nicholas rios', 'niloofar ramezani', 'karla hoffman', 'john shortle', 'jiayang sun', 'leonard adelman']","[0.19248016287593656, 0.1610689642117733, 0.15601958976523056, 0.15239254226694074, 0.13091312559282908, 0.12812391078916693, 0.1280942473965302, 0.12759972830796965, 0.12206392705980669, 0.12100377839375469]"
183,power aware computing,"['george hazelrigg', 'andrzej manitius', 'jim chen', 'kenneth ball', 'rajesh ganesan', 'jonathan l auerbach', 'lucas henneman', 'alexander levis', 'jeffrey moran', 'shahnaz kamberi']","[0.1523005672185353, 0.1459724981394773, 0.14302791966052442, 0.1423656577668015, 0.13299841803577755, 0.13164511475542165, 0.13111087780776212, 0.1304181719202586, 0.12946390477018857, 0.12919582873868865]"
184,parallel distributed systems,"['jim chen', 'cameron nowzari', 'sanjeev setia', 'janis terpenny', 'edward huang', 'xuan wang', 'george hazelrigg', 'ariela sofer', 'daniel menasce', 'john shortle']","[0.16123927627655715, 0.15479592592904937, 0.15298028922537985, 0.13998452337086217, 0.13860338610977066, 0.1376471930395712, 0.13713609470348648, 0.1368200626888607, 0.1367993374843094, 0.13473930818547727]"
185,fault tolerance,"['jan allbeck', 'olcay ciftci', 'mingkui wei', 'tolga soyata', 'elise miller hooks', 'vadim sokolov', 'daniel barbara', 'mahdi hashemi', 'sanmay das', 'shuochao yao']","[0.10431888918641208, 0.084084842366885, 0.07323086637920087, 0.0728067573046628, 0.06814604929141074, 0.06773122768962524, 0.0671253237263844, 0.06639572283733927, 0.06484383355262799, 0.06422887863356426]"
186,cyber physical systems,"['janis terpenny', 'jim chen', 'amarda shehu', 'ali beheshti', 'burak tanyu', 'hadi el amine', 'george hazelrigg', 'william rosenberger', 'aditya johri', 'edward huang']","[0.1484469649543288, 0.14520289789193033, 0.14080346918121844, 0.13226476771255818, 0.12857515742348402, 0.12517973724522552, 0.12362798849126445, 0.11837274459381518, 0.11682556440887239, 0.1155532761609549]"
187,real time embedded systems,"['jessica lin', 'syed abbas zaidi', 'elise miller hooks', 'rajesh ganesan', 'alexander levis', 'jim chen', 'cameron nowzari', 'daniel barbara', 'yotam gingold', 'mohan venigalla']","[0.3167519791293119, 0.24246465206256385, 0.23903633941936797, 0.23073818621473416, 0.22154056581239112, 0.21656521343927185, 0.21323139049586678, 0.21066857165337427, 0.20470827116390872, 0.1997841633293095]"
188,computer systems,"['janis terpenny', 'jim chen', 'ray hong', 'amarda shehu', 'thomas latoza', 'hadi el amine', 'george hazelrigg', 'ali k raz', 'giuseppe ateniese', 'edward huang']","[0.17490539819165865, 0.14875677038508214, 0.14388343424234845, 0.136334476761341, 0.12496144362771562, 0.12386854744923818, 0.12135726313251773, 0.11969592228250205, 0.11953233672216744, 0.11901503527502665]"
189,internet of things,"['bijan jabbari', 'vijay shah', 'sherif hashem', 'moinul hossain', 'brian mark', 'parth pathak', 'sanjeev setia', 'cameron nowzari', 'jianli pan', 'kai zeng']","[0.33209953917310386, 0.2823620125636531, 0.27366115458824286, 0.26527858972944574, 0.26037243943254185, 0.2556477277071281, 0.23152828735121916, 0.21920666543339157, 0.2161472530280246, 0.21221869162613666]"
