,area,top10,top10_scores
0,artificial intelligence,"['myeong lee', 'sadegh torabi', 'diana wang', '̦zlem uzuner', 'riki morikawa', 'hemant purohit', 'sanmay das', 'michael hieb', 'sharon adamus', 'katherine russell']","[0.2908402250838777, 0.17516394906194158, 0.16921981785876064, 0.15671403040361434, 0.14894209897070304, 0.14263790462525644, 0.14132540635463045, 0.1321726190614375, 0.1311578474677781, 0.12582183659700646]"
1,autonomous systems,"['janis terpenny', 'jim chen', 'amarda shehu', 'thomas latoza', 'george hazelrigg', 'ray hong', 'hadi el amine', 'giuseppe ateniese', 'jan allbeck', 'edward huang']","[0.15794679858946128, 0.14186342071370853, 0.12485479588541837, 0.12151843444055867, 0.11991874635868878, 0.11837712853934514, 0.11563207278133417, 0.11195695259248672, 0.11025050207784115, 0.10798294029550783]"
2,computer engineering,"['gheorghe tecuci', 'mihai boicu', 'janis terpenny', 'peter pachowicz', 'edward huang', 'binqian yin', 'george hazelrigg', 'aditya johri', 'jiayang sun', 'ali k raz']","[0.2383102303944741, 0.21215305220381353, 0.18055456179364698, 0.14527944405644863, 0.1308488243958065, 0.12209657262637609, 0.1191149826795339, 0.11676286987622918, 0.11509604144773075, 0.11406312631462474]"
3,computer networks communications,"['myeong lee', 'ali k raz', 'daniel barbara', 'duminda wijesekera', 'ray hong', '̦zlem uzuner', 'massimiliano albanese', 'bernd peter paris', 'jim chen', 'giuseppe ateniese']","[0.2680245533862051, 0.23733426053465734, 0.19755677105892144, 0.19556583517405218, 0.18802928503750235, 0.17664563907338965, 0.17256155555845745, 0.1723294766691701, 0.17226635405157717, 0.17133291116627136]"
4,cybersecurity,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
5,data analytics,"['myeong lee', 'yutao zhong', 'diana wang', 'angelos stavrou', 'hadi el amine', 'ziwei zhu', 'niloofar ramezani', 'girum urgessa', 'inchi hu', 'arthur art pyster']","[0.22025393960882894, 0.1688801323682996, 0.1482046307260317, 0.14798105409437606, 0.1397382359816659, 0.13795875616260195, 0.13480940693122373, 0.1342778519694503, 0.1324295304292306, 0.1264279082482028]"
6,electrical engineering,"['gheorghe tecuci', 'janis terpenny', 'mihai boicu', 'aditya johri', 'edward huang', 'george hazelrigg', 'karla hoffman', 'parth pathak', 'ariela sofer', 'jie xu']","[0.2145694639774432, 0.20102494958773545, 0.19886164460675826, 0.16937408695813305, 0.16185666293978065, 0.16127688825343284, 0.15839585377929966, 0.15013100004445729, 0.1485616095096049, 0.14517887293504794]"
7,human centered computing,"['shahnaz kamberi', 'rochelle jones', 'aditya johri', 'andrzej manitius', 'jim chen', 'george hazelrigg', 'ariela sofer', 'shvetha soundararajan', 'rajesh ganesan', 'tamara maddox']","[0.14280398136290093, 0.14125242469639895, 0.12522178663179417, 0.12447867983673666, 0.12348338356406803, 0.12283190651587442, 0.12208024549156714, 0.1181753737568402, 0.1139638222287521, 0.11327216746620858]"
8,software engineering,"['gheorghe tecuci', 'mihai boicu', 'shahnaz kamberi', 'janis terpenny', 'hamza mughal', 'binqian yin', 'john otten', 'jiayang sun', 'tamara maddox', 'edward huang']","[0.2101973667160289, 0.191865790474816, 0.1849005849183044, 0.18209403892093595, 0.18077538151554678, 0.1647705109143269, 0.16269784336399212, 0.14987328832216995, 0.14666320798326965, 0.14260465144663503]"
9,theory computation,"['gheorghe tecuci', 'ariela sofer', 'karla hoffman', 'mihai boicu', 'ali k raz', 'daniel barbara', 'elise miller hooks', 'edward huang', 'alexander levis', 'george hazelrigg']","[0.18615822985702254, 0.16426047873669947, 0.15745737026217235, 0.15515761919268167, 0.14387366834866228, 0.14003694244122147, 0.13855749985543714, 0.13634848977840383, 0.13218837842691317, 0.12903716833843087]"
10,visual computing,"['shahnaz kamberi', 'ariela sofer', 'aditya johri', 'george hazelrigg', 'andrzej manitius', 'jim chen', 'laura kosoglu', 'karla hoffman', 'shvetha soundararajan', 'craig lorie']","[0.25363074360726234, 0.23329377703730048, 0.21385780181719366, 0.1970280062442868, 0.19596047503338376, 0.1947056588688299, 0.18496594820594262, 0.1775752686062786, 0.17717857126416148, 0.1685319407387338]"
11,bioinformatics biostatistics computational biology,"['shahnaz kamberi', 'jiayang sun', 'michael holland', 'jonathan l auerbach', 'mehdi amiri darehbidi', 'pramita bagchi', 'jim chen', 'hamza mughal', 'aditya johri', 'yutao zhong']","[0.18768120087212187, 0.15904201883748276, 0.149270358506633, 0.1477543857063574, 0.14718635231658037, 0.1431332415340757, 0.14236102248261212, 0.1284457725980754, 0.1262143934635011, 0.12187873735452176]"
12,biomaterials nanomedicine,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
