,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
21,21,binqian yin,binqian bella yin join computer science department george mason university spring 2023 assistant teaching professor currently phd student earth science university texas arlington texas research focuses developing novel machine learning algorithms geological problems,,,,,CEC Website,CEC Website binqian yin
22,22,bo han,bo han enjoys building practical networked systems facilitate us better communicate interact physical world leveraging innovations machine learning multimedia computer vision computer graphics human computer interaction mason current research focuses immersive video streaming augmented virtual mixed reality internet things key research principle build real systems believes good research stems implementing practical systems done pioneer work viewport adaptive 360 degree video streaming visibility aware volumetric video streaming significantly reduce mobile data usage make emerging immersive videos available even low end mobile devices joining george mason university han principal scientist labs research improved network efficiency quality user experience networking services projects involved adopted deployed production networks large internet service provider co inventor 24 granted u patents filed 45 u patents research contributed diversity equity inclusion example several projects strive allow everyone especially patients seniors students rural areas benefit novel mobile applications,,,,,CEC Website,CEC Website bo han
23,23,bo liu,joining george mason university bo liu assistant professor auburn university primary research area covers decision making uncertainty human aided machine learning symbolic ai trustworthiness interpretability machine learning numerous applications bigdata autonomous driving healthcare informatics,,,,,CEC Website,CEC Website bo liu
24,24,brett hunter,brett hunter earned phd statistics colorado state university graduate student multiple teaching awards mentored junior graduate teaching assistants research interests include statistical computing extreme value theory biometric human recognition dissertation worked computer scientists developed facial recognition algorithm determine characteristics pairs photographs different people might commonly lead false matches,,,,,CEC Website,CEC Website brett hunter
25,25,brian hrolenok,brian hrolenok deep interest machine learning multiagent systems challenges unique intersection research explored learning executable models systems exhibit complex collective behavior social animals social insects fish primates robot teams also enjoys reading learning teaching computer science mathematics building robots noodling strange synthesizers enthusiasm inversely proportional talent,,,,,CEC Website,CEC Website brian hrolenok
26,26,brian mark,brian l mark main research interests lie design modeling performance evaluation communication networks computer systems became faculty member department electrical computer engineering george mason university 2000 prior joining mason research staff member nec labs princeton new jersey spent year visiting researcher télécom paristech paris france recent work focused protocols algorithms dynamic spectrum sharing future wireless networks statistical inference methods evaluating network performance within ece department teaches areas communications signal processing undergraduate graduate levels recently instructing courses computer networks wireless communications software radio coauthor two books system modeling analysis foundations system performance evaluation pearson education 2009 probability random processes statistical analysis cambridge university press 2012 received national science foundation early faculty career award 2002 outstanding research faculty award volgenau school engineering 2011 member ifip 7 3 working group computer system modeling senior member ieee associate editor ieee transactions vehicular technology 2006 2009 served acting chair department bioengineering 2015 2017,,,,,CEC Website,CEC Website brian mark
27,27,brittany johnson matthews,brittany johnson matthews devoted research career synergy human needs technical advancements human centric exploration development evaluation technologies johnson matthews best known work improving program analysis tools use practice extensive background empirical research methods rather relying magic technology decide advances make johnson matthews asks important question make change collaborating researchers world academia industry johnson matthews conducts interdisciplinary research spans software engineering human computer interaction machine learning domains prior joining mason johnson matthews postdoctoral research fellow university massachusetts amherst time postdoc developed new testing technique called causal testing supports developers understanding cause unexpected behavior software work causal testing acm sigsoft distinguished artifact award 2020 international conference software engineering time umass also contributed research aims support ethical software development area plans continue work george mason along passion research johnson matthews also passion mentoring students inside outside classroom extensive experience working students ages teaching computer science non computer science audiences encouraging others find passion follow dreams without losing process learn brittany johnson matthews interests accolades website http brittjay,,,,,CEC Website,CEC Website brittany johnson matthews
28,28,burak tanyu,burak f tanyu joined department civil environmental infrastructure engineering volgenau school george mason university 2011 specializing geotechnical engineering prior joining george mason tanyu senior engineer geosyntec consultants worked landslide forensic analyzes earth retention system designs design permitting residual waste landfills seep investigation embankment stability national highway institute certified instructor teaching design earth retaining structures since 2008 burak tanyu extensive research publication novel pavement construction methods influenced practice policy within transportation agencies across country,,,,,CEC Website,CEC Website burak tanyu
29,29,cameron nowzari,cameron nowzari research interests broad area dynamics controls robotics specifically interested analysis control complex distributed networked systems spreading processes good example imagine single human operator trying control swarm 1000 robots impossible human send individual commands robot rather human send high level command entire swarm individual robots swarm determine locally move within swarm ensure completion global task large motivation specific challenges interested include minimizing energy wireless communication efficient computation control strategies decisions use sparse sensing control work applications wide number areas including mobile sensors autonomous robots resource allocation public health epidemiology network protection marketing internet things cyber physical systems,,,,,CEC Website,CEC Website cameron nowzari
30,30,carlotta domeniconi,carlotta domeniconi taught george mason university since 2002 research interests include machine learning data mining classification clustering big data applications text mining social network analysis financial data mining learning analytics,,,,,CEC Website,CEC Website carlotta domeniconi
31,31,caroline hoemann,caroline hoemann ba ucsd phd mit full professor bioengineering george mason university prior professor chemical engineering department ecole polytechnique montreal spent 15 years directing federally funded research program role inflammation articular cartilage repair also brings five years experience research director montreal based biomedical device company invented developed medical device articular cartilage repair achieved regulatory approval use 17 countries eventually acquired smith nephew professor hoemann highly regarded internationally work cartilage bone tissue engineering biomaterial induced blood innate immune responses recipient 2 nih fogarty post doctoral fellowships four career fellowships fellow member international cartilage repair society serves editorial boards cartilage open orthopaedics journal co founder board directors ortho rti orthopedic biotech company specializing implants repair joint tissues research program focuses understanding use biomaterial guided immune responses regenerate bone cartilage tissues published 68 peer reviewed papers 14 book chapters expert opinion papers 171 conference abstracts 8 patent inventions translational research program aims bring new treatment options patients arthritis addition strengthening expanding department research portfolio hoemann brings specific teaching expertise biomaterials molecular cell biology tissue engineering enhance broaden department educational programs undergraduate graduate levels,,,,,CEC Website,CEC Website caroline hoemann
32,32,celso moller ferreira,flood hazards engineering resilience dr celso ferreira leads mason flood hazards research lab http frg vse gmu edu focus investigating developing solutions increase society resilience water related natural hazards lab currently investigating potential nature reduce hurricane induced flooding wave impacts critical infrastructure coastal regions group research strives incorporate future climate variability sea level rise human induced environmental changes engineering practice design group also focusing integrating riverine urban coastal flooding analysis real time near future forecasting critical infrastructure design dr celso ferreira written 20 technical publications research currently funded national science foundation nsf department interior doi national fish wildlife foundation nfwf several private organizations recently appointed visiting scholar stanford university also associate researcher usgs national research program 10 years experience working consulting projects related water resources environmental coastal engineering us brazil,,,,,CEC Website,CEC Website celso moller ferreira
33,33,charles white,charles white experience includes four years active duty us army nine years researcher department defense dod lab 19 years engineering r management p g three years faculty northeastern university four years faculty norwich university research mechanics materials behavior,,,,,CEC Website,CEC Website charles white
34,34,christine alonzo yee,christine alonzo yee adjunct professor cyber security engineering george mason university 18 years experience systems engineer technology consulting across various technology client sectors including defense intelligence federal agencies career began military satellites migrating radar technologies onto cybersecurity technologies focused protection government networks today currently chief engineer booz allen hamilton focusing strategic investment growth ideation differentiated engineering technologies resilient position navigation timing manages technically diverse portfolio team engineers scientists support various clients government research development groups alonzo yee favorite aspects academic industry engagements meeting new diverse talent supporting growing talent seeing innovation drive create cultivate future business,,,,,CEC Website,CEC Website christine alonzo yee
35,35,christopher a carr,christopher carr leadership policy wonk areas diversity higher education stem science technology engineering mathematics unwavering support work intersectional justice allowed trek path difficult areas retention institutions higher learning teamwork organizational development collegiate professional sphere diverse representation stem fields background public policy takes ethical stances conversations around tough issues make sure voices included professional life carr convened numerous diversity leadership forums stem education bringing together 100 deans diversity administrators talk underrepresented students persistence diverse faculty recruitment creating inclusive campus climates carr also champion access opportunities historically oppressed groups worked see outreach efforts exponentially expand historically black colleges universities hispanic serving institutions tribal colleges universities efforts transformed way national science foundation solicited premier graduate research fellowship program led comprehensive changes federal stem fellowships role mason carr supports faculty search committee parameters help ensure george mason faculty better represents diverse mason student body supports office dean associate deans efforts develop enhance equitable campus climate within college engineering computing supports larger campus community goals helping challenge status quo assist university strategic goals,,,,,CEC Website,CEC Website christopher a carr
36,36,chun hung chen,modeling unpredictable understanding could go wrong happens vital almost every industry stochastic modeling works help engineers simulate incidents arise seemingly random circumstances especially important air transportation systems technology manufacturing healthcare security networks power grids military operations chun hung chen inventor novel idea called optimal computing budget allocation drastically improves efficiency stochastic simulation methodology proven great importance many applications chen research funded variety organizations national science foundation national institutes health department energy nasa us air force us missile defense agency federal aviation administration chen teaches several sections systems simulation modeling research techniques graduate undergraduate level,,,,,CEC Website,CEC Website chun hung chen
37,37,clifton sutton,clifton sutton native virginian attended university virginia earning master phd statistics stanford university member instructional faculty statistics department since 1987 director statistical consulting center sutton opportunity work researchers many programs campus advising experimental design helping data analysis among interesting mason clients former head men basketball coach jim larranaga wanted gain insight effectiveness various offensive defensive strategies sutton also works consulting clients outside mason served expert witness several legal proceedings including testifying murder trial mason sutton taught wide variety graduate level courses winner volgenau school outstanding teaching award done research number different areas among geometric probability robust statistics also active university service serving many years leadership positions faculty senate general education committee sutton particularly proud efforts get engineering school programs involved university general education program led tremendous increase enrollment subsequently growth two departments within volgenau school,,,,,CEC Website,CEC Website clifton sutton
38,38,colin reagle,colin reagle joined volgenau school engineering 2014 reagle specializes areas thermal fluid flows sustainable energy systems brings extensive background subjects mason boon growing mechanical engineering program also taught conducted post doctoral research virginia tech including projects solar turbines siemens pratt whitney rolls royce honeywell reagle r experience researcher techsburg small engineering services company christiansburg virginia reagle primary focus mason growing mechanical engineering undergraduate program teaching areas expertise service department passion working students enabling effectively pursue goals involved multiple student centric efforts include developing small scale anaerobic digester harvest energy food waste urban suburban environments implementing multidisciplinary entrepreneurship program encourages students put classroom theory practice converting required course curriculum use open educational resources driving cross institutional effort improve required thermodynamics course facilitating multi disciplinary research effort assess urban hydroelectric microturbines solution joint energy water challenges,,,,,CEC Website,CEC Website colin reagle
39,39,colleen berg,colleen berg instructor mechanical engineering since 2006 combination mechanical engineering computer science degrees tends teach computational classes also teaches hands labs well enjoys helping newer students intro level classes,,,,,CEC Website,CEC Website colleen berg
40,40,craig lorie,craig lorie extensive work electrical engineering field naturally cultivated love software engineering rare find commercial positions integrate two disciplines past advancing technologies require greater attention combining digital systems design challenge ultimately brought back classroom george mason university adjunct faculty teaching digital systems joined full time faculty volgenau school engineering 2009 considers lifelong student continues education subjects java c organic chemistry biochemistry molecular biology future goals include building code bioinformatics solutions applications,,,,,CEC Website,CEC Website craig lorie
41,41,daigo shishika,daigo shishika assistant professor department mechanical engineering obtained bachelor degree university tokyo japan master phd university maryland college park aerospace engineering joining george mason university shishika postdoctoral researcher grasp laboratory university pennsylvania research interest general area autonomy dynamics controls robotics specifically past work focused multi agent systems including animal groups swarms autonomous vehicles currently studying cooperatively control large teams robots various adversarial environments,,,,,CEC Website,CEC Website daigo shishika
43,43,dana richards,dana richards comes mason years experience programmer innovator field computer science prior joining volgenau faculty richards worked programmer comress inc assistant professor computer science university virginia recently served program director theory computing division national science foundation written edited three books numerous publications topic research interest includes comparisons protein sequences steimer tree algorithms information dissemination networks parallel heuristics methodology computationally intractable problems parallel algorithms median filters,,,,,CEC Website,CEC Website dana richards
44,44,daniel barbara,daniel barbará taught george mason university since 1997 areas expertise data mining machine learning served program chair siam international conference data mining 2003 received numerous grants national science foundation army federal state institutions,,,,,CEC Website,CEC Website daniel barbara
45,45,daniel garrison,daniel garrison teaches online education programing ist coming mason assistant professor rochester institute technology president digital audio notebook group garrison research interests include bioengineering brain human computing cognitive science,,,,,CEC Website,CEC Website daniel garrison
46,46,daniel menasce,daniel menascé taught george mason university since 1992 fellow acm ieee recipient outstanding faculty award commonwealth virginia 2017 recipient 2001 michelson award computer measurement group published 270 articles five books received 11 560 citations h index 52 areas interest expertise include autonomic computing software performance engineering security performance tradeoffs cloud computing service oriented computing modeling analysis computer systems web e commerce systems,,,,,CEC Website,CEC Website daniel menasce
47,47,david s rosenblum,david rosenblum enjoyed varied career positions leading industry research lab bell labs murray hill technology startup precache served cto principal architect academic institutions three continents uc irvine university college london national university singapore brings significant leadership experience gmu leading computer science department home research area software engineering throughout career found inspiration problems areas computer science publications distributed systems networks ai current research focuses software testing verification challenges arising extensive use machine learning deep learning software development research earned recognition fellow acm ieee well two test time awards including icse 2002 influential paper award icse 1992 paper assertion checking inaugural acm sigsoft impact paper award 2008 esec fse 1997 internet scale event observation notification co authored alexander l wolf also active service international software engineering community including service editor chief acm transactions software engineering methodology acm tosem chair acm special interest group software engineering acm sigsoft recognition service received acm sigsoft distinguished service award 2018,,,,,CEC Website,CEC Website david s rosenblum
48,48,deborah goodings,deborah goodings professor associate dean graduate programs college engineering computing previous appointments included director civil mechanical manufacturing innovation division us national science foundation dewberry chaired professor chair sid reva dewberry department civil environmental infrastructure engineering professor civil engineering university maryland geotechnical engineer tippetts abbett mccarthy stratton engineers architects new york city addition research teaching university maryland co founded co directed umd master engineering public policy program addition established one earliest active student chapters engineers without borders usa completed ten international infrastructure projects guidance full integration engineering non engineering students recognition engineers without borders usa leadership gift made university endow deborah j goodings professorship engineering global sustainability goodings experience expertise led service u national academies national research council well institutional visiting review committees united states canada including mcmaster university university british columbia elected fellow churchill college cambridge university 1996 career accomplishments recognized awards u department army u national research council u universities council geotechnical engineering research professional engineers ontario university maryland deborah j goodings professor geotechnical engineering joined department civil environmental infrastructure engineering volgenau school engineering george mason university 2009 dewberry professor chair civil environmental infrastructure engineering department prior appointment university maryland goodings launched co directed school public policy master engineering public policy program career accomplishments recognized awards department army outstanding civilian service medal national research council transportation research board fred burggraf award emerita member status u universities council geotechnical engineering research distinguished service award professional engineers ontario engineering medal engineering excellence university maryland fellow american society civil engineers diplomate geotechnical engineering registered professional engineer ontario fellow churchill college cambridge university,,,,,CEC Website,CEC Website deborah goodings
49,49,diana wang,diana wang taught information sciences technology department school computing george mason university since 2006 coordinator web application development concentration abet assessment coordinator department also abet pev cac prior coming mason diana wang taught johns hopkins university university maryland baltimore county research interests include e commerce web design decision making support distance education human computer interaction information technology education information retrieval evaluation research interests e commerce human computer interaction hci information retrieval ir evaluation decision making support education distance education,,,,,CEC Website,CEC Website diana wang
50,50,dimitrios ioannou,dimitri ioannou authored coauthored two hundred fifty research papers conference presentations advised thirty research students main research contributions include development techniques using scanning electron microscopy sem electron beam induced current ebic detect characterize defects semiconductor materials techniques studying deep traps carrier lifetime interface states silicon insulator soi substrates physics hot carrier reliability soi devices including discovery opposite channel based carrier injection invented soi flash memory cell exploits phenomenon development schottky ohmic contact technology sic current research interests performance reliability issues soi bulk cmos devices circuits radiation hardness hot carriers negative bias temperature instability electrostatic discharge protection non classical nano scale cmos emerging field nanoelectronics including nanowire based non volatile memory ioannou involved ieee intern soi conference fifteen years including technical program chairman soi 2001 general chairman soi 2002 2008 outstanding research faculty award recipient george mason university volgenau school engineering fellow ieee recognition importance research semiconductor industry two time recipient ibm faculty award,,,,,CEC Website,CEC Website dimitrios ioannou
